fips,county_name,nri_risk_rating,economic_profile,economic_profile_label,assignment_confidence,assignment_margin,second_best_profile,second_best_profile_label
01091,"Marengo County, AL",Low,2,Small transfer-reliant counties,0.742196854717015,0.4844142872115975,0,High-wage investment-income counties
01093,"Marion County, AL",Low,2,Small transfer-reliant counties,0.8701500196968077,0.7403000393936656,0,High-wage investment-income counties
01095,"Marshall County, AL",Moderate,0,High-wage investment-income counties,0.6410739719486733,0.2821482980914256,2,Small transfer-reliant counties
01097,"Mobile County, AL",High,0,High-wage investment-income counties,0.9487547320286943,0.8975097385967867,2,Small transfer-reliant counties
01099,"Monroe County, AL",Low,2,Small transfer-reliant counties,0.9031207493620994,0.8062414987242001,0,High-wage investment-income counties
01101,"Montgomery County, AL",Moderate,0,High-wage investment-income counties,0.9897031829354146,0.9794063658807952,2,Small transfer-reliant counties
01103,"Morgan County, AL",Moderate,0,High-wage investment-income counties,0.9228074534050034,0.8456149194901654,2,Small transfer-reliant counties
01105,"Perry County, AL",Very Low,2,Small transfer-reliant counties,0.9771192766702977,0.954238553340596,0,High-wage investment-income counties
01107,"Pickens County, AL",Low,2,Small transfer-reliant counties,0.9737042066967734,0.9474084133935452,0,High-wage investment-income counties
01109,"Pike County, AL",Low,0,High-wage investment-income counties,0.5831959763126536,0.16639291173905735,2,Small transfer-reliant counties
01111,"Randolph County, AL",Very Low,2,Small transfer-reliant counties,0.9708080474816382,0.9416160949632758,0,High-wage investment-income counties
01113,"Russell County, AL",Low,2,Small transfer-reliant counties,0.9825210680688459,0.9650421361376901,0,High-wage investment-income counties
01115,"St. Clair County, AL",Low,2,Small transfer-reliant counties,0.8681392107362901,0.7362784374645506,0,High-wage investment-income counties
01117,"Shelby County, AL",Moderate,0,High-wage investment-income counties,0.9954778415977324,0.9909556831954645,2,Small transfer-reliant counties
01119,"Sumter County, AL",Low,2,Small transfer-reliant counties,0.9739484413222911,0.9478968826445827,0,High-wage investment-income counties
01121,"Talladega County, AL",Moderate,2,Small transfer-reliant counties,0.9193893317286631,0.8387786634573278,0,High-wage investment-income counties
01123,"Tallapoosa County, AL",Low,2,Small transfer-reliant counties,0.857831907547346,0.7156638150946923,0,High-wage investment-income counties
01125,"Tuscaloosa County, AL",Moderate,0,High-wage investment-income counties,0.8378219230223038,0.6756447960853669,2,Small transfer-reliant counties
01127,"Walker County, AL",Moderate,2,Small transfer-reliant counties,0.8853721447128128,0.7707442894256266,0,High-wage investment-income counties
01129,"Washington County, AL",Low,2,Small transfer-reliant counties,0.8203295715414569,0.6406591430829148,0,High-wage investment-income counties
01131,"Wilcox County, AL",Very Low,2,Small transfer-reliant counties,0.9466889117460917,0.8933778234921842,0,High-wage investment-income counties
01133,"Winston County, AL",Low,2,Small transfer-reliant counties,0.8826370140980659,0.7652740281962086,0,High-wage investment-income counties
02013,"Aleutians East Borough, AK",Very Low,0,High-wage investment-income counties,0.6913382316159765,0.38267646323195215,2,Small transfer-reliant counties
02016,"Aleutians West Borough, AK",Low,0,High-wage investment-income counties,0.9956532494718461,0.9913064989436917,2,Small transfer-reliant counties
02020,"Anchorage Borough, AK",High,0,High-wage investment-income counties,0.9995146419687801,0.9990292839375619,2,Small transfer-reliant counties
02050,"Bethel Borough, AK",Low,2,Small transfer-reliant counties,0.9231544703109762,0.8463089406219506,0,High-wage investment-income counties
02060,"Bristol Bay Borough, AK",Very Low,0,High-wage investment-income counties,0.9997563533657394,0.9995127067314771,2,Small transfer-reliant counties
02063,"Chugach Census Area, AK",Very Low,0,High-wage investment-income counties,0.9941610213970274,0.9883220427940563,2,Small transfer-reliant counties
02066,"Copper River Census Area, AK",Very Low,0,High-wage investment-income counties,0.992507228349487,0.98501445669901,2,Small transfer-reliant counties
02068,"Denali Borough, AK",Very Low,0,High-wage investment-income counties,0.9989424885607712,0.9978849771215413,2,Small transfer-reliant counties
02070,"Dillingham Borough, AK",Very Low,0,High-wage investment-income counties,0.9828076518334257,0.9656153036668528,2,Small transfer-reliant counties
02090,"Fairbanks North Star Borough, AK",Moderate,0,High-wage investment-income counties,0.9890200735768342,0.978040147153668,2,Small transfer-reliant counties
02100,"Haines Borough, AK",Very Low,0,High-wage investment-income counties,0.9995128630029887,0.9990257260059762,2,Small transfer-reliant counties
02105,"Hoonah-Angoon Borough, AK",Very Low,0,High-wage investment-income counties,0.9978161950707904,0.995632390141582,2,Small transfer-reliant counties
02110,"Juneau Borough, AK",Very Low,0,High-wage investment-income counties,0.9998856151300559,0.9997712302601103,2,Small transfer-reliant counties
02122,"Kenai Peninsula Borough, AK",Moderate,0,High-wage investment-income counties,0.979275750583212,0.9585515011822967,2,Small transfer-reliant counties
02130,"Ketchikan Gateway Borough, AK",Very Low,0,High-wage investment-income counties,0.9988845220127268,0.9977690440262965,2,Small transfer-reliant counties
02150,"Kodiak Island Borough, AK",Low,0,High-wage investment-income counties,0.997527905677834,0.9950558113556688,2,Small transfer-reliant counties
02158,"Kusilvak Census Area, AK",Low,2,Small transfer-reliant counties,0.9838147086589324,0.9676294173178646,0,High-wage investment-income counties
02164,"Lake and Peninsula Borough, AK",Very Low,0,High-wage investment-income counties,0.9853170078184068,0.9706340156399855,2,Small transfer-reliant counties
02170,"Matanuska-Susitna Borough, AK",Moderate,0,High-wage investment-income counties,0.9629274213061192,0.925854842612567,2,Small transfer-reliant counties
02180,"Nome Borough, AK",Very Low,0,High-wage investment-income counties,0.7253226893420286,0.4506453787044488,2,Small transfer-reliant counties
02185,"North Slope Borough, AK",Very Low,0,High-wage investment-income counties,0.9587399858669845,0.9174799717339688,2,Small transfer-reliant counties
02188,"Northwest Arctic Borough, AK",Low,0,High-wage investment-income counties,0.7640766986834089,0.5281533973668191,2,Small transfer-reliant counties
02195,"Petersburg Borough, AK",Very Low,0,High-wage investment-income counties,0.9942496940183359,0.988499388036673,2,Small transfer-reliant counties
02198,"Prince of Wales-Hyder Borough, AK",Very Low,0,High-wage investment-income counties,0.9804805312916665,0.9609610633314223,2,Small transfer-reliant counties
02220,"Sitka Borough, AK",Very Low,0,High-wage investment-income counties,0.9999447323209794,0.9998894646419596,2,Small transfer-reliant counties
02230,"Skagway Borough, AK",Very Low,0,High-wage investment-income counties,0.9996635757808365,0.9993271515616731,2,Small transfer-reliant counties
02240,"Southeast Fairbanks Borough, AK",Low,0,High-wage investment-income counties,0.9932924586679431,0.9865849173358867,2,Small transfer-reliant counties
02275,"Wrangell Borough, AK",Very Low,0,High-wage investment-income counties,0.990874572339018,0.9817491446780364,2,Small transfer-reliant counties
02282,"Yakutat Borough, AK",Very Low,0,High-wage investment-income counties,0.998078111563764,0.9961562231275266,2,Small transfer-reliant counties
02290,"Yukon-Koyukuk Borough, AK",Low,0,High-wage investment-income counties,0.6431479754088194,0.2862964830518283,2,Small transfer-reliant counties
04001,"Apache County, AZ",Low,2,Small transfer-reliant counties,0.9487228412776281,0.897445682555255,0,High-wage investment-income counties
04003,"Cochise County, AZ",Moderate,0,High-wage investment-income counties,0.744208746985965,0.48841749781394084,2,Small transfer-reliant counties
04005,"Coconino County, AZ",Moderate,0,High-wage investment-income counties,0.9970829551203725,0.9941659102408076,2,Small transfer-reliant counties
04007,"Gila County, AZ",Moderate,0,High-wage investment-income counties,0.8058375374070862,0.6116767777905638,2,Small transfer-reliant counties
04009,"Graham County, AZ",Low,2,Small transfer-reliant counties,0.9307863096479727,0.8615726192959452,0,High-wage investment-income counties
04011,"Greenlee County, AZ",Very Low,0,High-wage investment-income counties,0.9729396835534315,0.9458793671068629,2,Small transfer-reliant counties
04012,"La Paz County, AZ",Moderate,0,High-wage investment-income counties,0.7416673773642536,0.48333475472850584,2,Small transfer-reliant counties
04013,"Maricopa County, AZ",Very High,0,High-wage investment-income counties,0.9996099725098667,0.9992199450197334,2,Small transfer-reliant counties
04015,"Mohave County, AZ",High,2,Small transfer-reliant counties,0.7293204510153224,0.45864090203064906,0,High-wage investment-income counties
04017,"Navajo County, AZ",Moderate,2,Small transfer-reliant counties,0.9714227222024102,0.9428454444048204,0,High-wage investment-income counties
04019,"Pima County, AZ",High,0,High-wage investment-income counties,0.97970712289595,0.959414245791935,2,Small transfer-reliant counties
04021,"Pinal County, AZ",Moderate,2,Small transfer-reliant counties,0.571372677247688,0.1427507190466532,0,High-wage investment-income counties
04023,"Santa Cruz County, AZ",Moderate,2,Small transfer-reliant counties,0.6625639861689961,0.32512798481172134,0,High-wage investment-income counties
04025,"Yavapai County, AZ",Moderate,0,High-wage investment-income counties,0.9380543349611395,0.8761086699222798,2,Small transfer-reliant counties
04027,"Yuma County, AZ",Moderate,2,Small transfer-reliant counties,0.7196645825359028,0.4393291651539424,0,High-wage investment-income counties
05001,"Arkansas County, AR",Low,0,High-wage investment-income counties,0.9924923730339251,0.9849847460678541,2,Small transfer-reliant counties
05003,"Ashley County, AR",Low,2,Small transfer-reliant counties,0.9549021498153987,0.9098042996307957,0,High-wage investment-income counties
05005,"Baxter County, AR",Low,2,Small transfer-reliant counties,0.8745181766790128,0.749036353358026,0,High-wage investment-income counties
05007,"Benton County, AR",Moderate,0,High-wage investment-income counties,0.9998153558611498,0.9996307117222981,2,Small transfer-reliant counties
05009,"Boone County, AR",Low,2,Small transfer-reliant counties,0.9553373893420677,0.9106747786841356,0,High-wage investment-income counties
05011,"Bradley County, AR",Very Low,2,Small transfer-reliant counties,0.95075493066373,0.9015098613274614,0,High-wage investment-income counties
05013,"Calhoun County, AR",Very Low,0,High-wage investment-income counties,0.722202746309823,0.44440549261964646,2,Small transfer-reliant counties
05015,"Carroll County, AR",Low,2,Small transfer-reliant counties,0.9771692675750698,0.9543385351501393,0,High-wage investment-income counties
05017,"Chicot County, AR",Low,2,Small transfer-reliant counties,0.908204173030115,0.8164083460602307,0,High-wage investment-income counties
05019,"Clark County, AR",Very Low,2,Small transfer-reliant counties,0.9425167012753166,0.8850334025506337,0,High-wage investment-income counties
05021,"Clay County, AR",Low,2,Small transfer-reliant counties,0.9509234204580036,0.9018468409160061,0,High-wage investment-income counties
05023,"Cleburne County, AR",Low,2,Small transfer-reliant counties,0.877353845028032,0.754707690056064,0,High-wage investment-income counties
05025,"Cleveland County, AR",Very Low,2,Small transfer-reliant counties,0.9248006615924793,0.8496013231849588,0,High-wage investment-income counties
05027,"Columbia County, AR",Very Low,2,Small transfer-reliant counties,0.9404887370381051,0.880977474076212,0,High-wage investment-income counties
05029,"Conway County, AR",Low,2,Small transfer-reliant counties,0.945359462619567,0.8907189252391325,0,High-wage investment-income counties
05031,"Craighead County, AR",Moderate,0,High-wage investment-income counties,0.5491597618369782,0.10366901191668643,2,Small transfer-reliant counties
05033,"Crawford County, AR",Low,2,Small transfer-reliant counties,0.9740854568862884,0.9481709137725768,0,High-wage investment-income counties
05035,"Crittenden County, AR",Moderate,2,Small transfer-reliant counties,0.9587338185920502,0.917467637184102,0,High-wage investment-income counties
05037,"Cross County, AR",Low,2,Small transfer-reliant counties,0.974104910596847,0.9482098211936935,0,High-wage investment-income counties
05039,"Dallas County, AR",Very Low,2,Small transfer-reliant counties,0.6712035138213086,0.34240702764261693,0,High-wage investment-income counties
05041,"Desha County, AR",Very Low,0,High-wage investment-income counties,0.5608365880550821,0.12167317611016254,2,Small transfer-reliant counties
05043,"Drew County, AR",Very Low,2,Small transfer-reliant counties,0.9385560133154689,0.8771120266309373,0,High-wage investment-income counties
05045,"Faulkner County, AR",Moderate,2,Small transfer-reliant counties,0.8073240145607055,0.6150358535711399,0,High-wage investment-income counties
05047,"Franklin County, AR",Low,2,Small transfer-reliant counties,0.9716566460458609,0.943313292091723,0,High-wage investment-income counties
05049,"Fulton County, AR",Low,2,Small transfer-reliant counties,0.9863287945374253,0.9726575890748499,0,High-wage investment-income counties
05051,"Garland County, AR",Moderate,2,Small transfer-reliant counties,0.7582539777957695,0.5165079555915374,0,High-wage investment-income counties
05053,"Grant County, AR",Very Low,2,Small transfer-reliant counties,0.8876353134717812,0.7752706269439917,0,High-wage investment-income counties
05055,"Greene County, AR",Low,2,Small transfer-reliant counties,0.9542229675891086,0.9084459351782156,0,High-wage investment-income counties
05057,"Hempstead County, AR",Low,2,Small transfer-reliant counties,0.9697344017471742,0.9394688034943468,0,High-wage investment-income counties
05059,"Hot Spring County, AR",Low,2,Small transfer-reliant counties,0.9763560372216036,0.9527120744432058,0,High-wage investment-income counties
05061,"Howard County, AR",Low,2,Small transfer-reliant counties,0.9337642014727368,0.8675284029454753,0,High-wage investment-income counties
05063,"Independence County, AR",Low,2,Small transfer-reliant counties,0.7618114614108666,0.5236229233216503,0,High-wage investment-income counties
05065,"Izard County, AR",Low,2,Small transfer-reliant counties,0.9766680708328551,0.9533361416657089,0,High-wage investment-income counties
05067,"Jackson County, AR",Low,2,Small transfer-reliant counties,0.9444349532950234,0.8888699065900456,0,High-wage investment-income counties
05069,"Jefferson County, AR",Moderate,2,Small transfer-reliant counties,0.9378265326589365,0.875653065317872,0,High-wage investment-income counties
05071,"Johnson County, AR",Low,2,Small transfer-reliant counties,0.9854517396037558,0.9709034792075115,0,High-wage investment-income counties
05073,"Lafayette County, AR",Very Low,2,Small transfer-reliant counties,0.94551394318177,0.891027886363541,0,High-wage investment-income counties
05075,"Lawrence County, AR",Low,2,Small transfer-reliant counties,0.9726769881230967,0.9453539762461941,0,High-wage investment-income counties
05077,"Lee County, AR",Very Low,2,Small transfer-reliant counties,0.9759660628038802,0.9519321256077588,0,High-wage investment-income counties
05079,"Lincoln County, AR",Very Low,2,Small transfer-reliant counties,0.9834948208331005,0.9669896416662007,0,High-wage investment-income counties
05081,"Little River County, AR",Low,2,Small transfer-reliant counties,0.9217791859407589,0.8435583718815166,0,High-wage investment-income counties
05083,"Logan County, AR",Low,2,Small transfer-reliant counties,0.9812215804434526,0.9624431608869058,0,High-wage investment-income counties
05085,"Lonoke County, AR",Low,2,Small transfer-reliant counties,0.7173779407855533,0.4347923933292063,0,High-wage investment-income counties
05087,"Madison County, AR",Low,2,Small transfer-reliant counties,0.9486018167209792,0.8972036334419597,0,High-wage investment-income counties
05089,"Marion County, AR",Low,2,Small transfer-reliant counties,0.9772337227127186,0.9544674454254359,0,High-wage investment-income counties
05091,"Miller County, AR",Low,2,Small transfer-reliant counties,0.971226669628744,0.9424533392574864,0,High-wage investment-income counties
05093,"Mississippi County, AR",Moderate,0,High-wage investment-income counties,0.5660525429891766,0.13210508597835374,2,Small transfer-reliant counties
05095,"Monroe County, AR",Very Low,2,Small transfer-reliant counties,0.9542612998726967,0.9085225997453937,0,High-wage investment-income counties
05097,"Montgomery County, AR",Very Low,2,Small transfer-reliant counties,0.9844274309926271,0.9688548619852541,0,High-wage investment-income counties
05099,"Nevada County, AR",Very Low,2,Small transfer-reliant counties,0.9705714336530206,0.9411428673060416,0,High-wage investment-income counties
05101,"Newton County, AR",Very Low,2,Small transfer-reliant counties,0.990567486687568,0.9811349733751347,0,High-wage investment-income counties
05103,"Ouachita County, AR",Low,2,Small transfer-reliant counties,0.7922488092233289,0.5844976305732458,0,High-wage investment-income counties
05105,"Perry County, AR",Very Low,2,Small transfer-reliant counties,0.9639738332714852,0.9279476665429717,0,High-wage investment-income counties
05107,"Phillips County, AR",Low,2,Small transfer-reliant counties,0.9463918044278187,0.8927836088556357,0,High-wage investment-income counties
05109,"Pike County, AR",Very Low,2,Small transfer-reliant counties,0.96897606186541,0.9379521237308207,0,High-wage investment-income counties
05111,"Poinsett County, AR",Low,2,Small transfer-reliant counties,0.9194867285912823,0.8389734571825636,0,High-wage investment-income counties
05113,"Polk County, AR",Low,2,Small transfer-reliant counties,0.9685209201911076,0.9370418403822144,0,High-wage investment-income counties
05115,"Pope County, AR",Low,2,Small transfer-reliant counties,0.9454545934744233,0.8909091869488462,0,High-wage investment-income counties
05117,"Prairie County, AR",Very Low,2,Small transfer-reliant counties,0.9350667388474935,0.8701334776949882,0,High-wage investment-income counties
05119,"Pulaski County, AR",High,0,High-wage investment-income counties,0.9979793217968504,0.9959586435937023,2,Small transfer-reliant counties
05121,"Randolph County, AR",Low,2,Small transfer-reliant counties,0.9749473814232776,0.949894762846554,0,High-wage investment-income counties
05123,"St. Francis County, AR",Low,2,Small transfer-reliant counties,0.9810690123983725,0.9621380247967443,0,High-wage investment-income counties
05125,"Saline County, AR",Low,3,Large high-wage metro counties,0.8233752545704552,0.7178813021156861,2,Small transfer-reliant counties
05127,"Scott County, AR",Very Low,2,Small transfer-reliant counties,0.9644293168940796,0.9288586337881588,0,High-wage investment-income counties
05129,"Searcy County, AR",Very Low,2,Small transfer-reliant counties,0.9894539161798505,0.9789078323597001,0,High-wage investment-income counties
05131,"Sebastian County, AR",Moderate,3,Large high-wage metro counties,0.7472813729351736,0.5107565810308177,0,High-wage investment-income counties
05133,"Sevier County, AR",Low,2,Small transfer-reliant counties,0.8358939123625725,0.6717878247251459,0,High-wage investment-income counties
05135,"Sharp County, AR",Low,2,Small transfer-reliant counties,0.9759232189582682,0.9518464379165352,0,High-wage investment-income counties
05137,"Stone County, AR",Low,2,Small transfer-reliant counties,0.9540892907802545,0.908178581560509,0,High-wage investment-income counties
05139,"Union County, AR",Low,0,High-wage investment-income counties,0.9981516977911938,0.9963033955824099,2,Small transfer-reliant counties
05141,"Van Buren County, AR",Low,2,Small transfer-reliant counties,0.9680670446099358,0.9361340892198728,0,High-wage investment-income counties
05143,"Washington County, AR",Moderate,0,High-wage investment-income counties,0.9961980627608684,0.9923961255238998,2,Small transfer-reliant counties
05145,"White County, AR",Moderate,2,Small transfer-reliant counties,0.9662009867235422,0.9324019734470828,0,High-wage investment-income counties
05147,"Woodruff County, AR",Very Low,2,Small transfer-reliant counties,0.5371554149755925,0.07431082995118504,0,High-wage investment-income counties
05149,"Yell County, AR",Low,2,Small transfer-reliant counties,0.9611972935572327,0.9223945871144665,0,High-wage investment-income counties
06001,"Alameda County, CA",Very High,0,High-wage investment-income counties,0.9999287530419764,0.9998575060839524,2,Small transfer-reliant counties
06003,"Alpine County, CA",Very Low,0,High-wage investment-income counties,0.9789659268396221,0.9579318536792438,2,Small transfer-reliant counties
06005,"Amador County, CA",Low,0,High-wage investment-income counties,0.6106133641158662,0.22122673016981165,2,Small transfer-reliant counties
06007,"Butte County, CA",Moderate,0,High-wage investment-income counties,0.9443738860905649,0.8887477721824093,2,Small transfer-reliant counties
06009,"Calaveras County, CA",Moderate,0,High-wage investment-income counties,0.9007276080794577,0.8014552167231201,2,Small transfer-reliant counties
06011,"Colusa County, CA",Moderate,0,High-wage investment-income counties,0.9998347344448848,0.9996694688897695,2,Small transfer-reliant counties
06013,"Contra Costa County, CA",Very High,0,High-wage investment-income counties,0.998315782193534,0.9966315643870696,2,Small transfer-reliant counties
06015,"Del Norte County, CA",High,2,Small transfer-reliant counties,0.8528923336306248,0.7057846672612511,0,High-wage investment-income counties
06017,"El Dorado County, CA",Moderate,0,High-wage investment-income counties,0.9965103833908086,0.9930207667816158,2,Small transfer-reliant counties
06019,"Fresno County, CA",High,0,High-wage investment-income counties,0.9501427532220011,0.9002855064440033,2,Small transfer-reliant counties
06021,"Glenn County, CA",Low,0,High-wage investment-income counties,0.8825563984371919,0.765112800091813,2,Small transfer-reliant counties
06023,"Humboldt County, CA",High,0,High-wage investment-income counties,0.9937232031491576,0.9874464062983153,2,Small transfer-reliant counties
06025,"Imperial County, CA",High,2,Small transfer-reliant counties,0.8228355295452514,0.6456710590905033,0,High-wage investment-income counties
06027,"Inyo County, CA",Low,0,High-wage investment-income counties,0.9981291232716327,0.996258246543533,2,Small transfer-reliant counties
06029,"Kern County, CA",High,2,Small transfer-reliant counties,0.5139273995004381,0.02785479900087645,0,High-wage investment-income counties
06031,"Kings County, CA",Moderate,2,Small transfer-reliant counties,0.5923569134063672,0.18471412829666667,0,High-wage investment-income counties
06033,"Lake County, CA",Moderate,2,Small transfer-reliant counties,0.9296660978637546,0.8593321957275326,0,High-wage investment-income counties
06035,"Lassen County, CA",Low,2,Small transfer-reliant counties,0.9125588966467946,0.82511779329695,0,High-wage investment-income counties
06037,"Los Angeles County, CA",Very High,0,High-wage investment-income counties,0.9997619617259489,0.9995239234518994,2,Small transfer-reliant counties
06039,"Madera County, CA",High,2,Small transfer-reliant counties,0.5106396195429578,0.021279239085915558,0,High-wage investment-income counties
06041,"Marin County, CA",High,0,High-wage investment-income counties,0.9999893808603898,0.9999787617207796,2,Small transfer-reliant counties
06043,"Mariposa County, CA",Moderate,0,High-wage investment-income counties,0.9402801056036225,0.8805602112072433,2,Small transfer-reliant counties
06045,"Mendocino County, CA",High,0,High-wage investment-income counties,0.9059185784091529,0.811837156818305,2,Small transfer-reliant counties
06047,"Merced County, CA",High,2,Small transfer-reliant counties,0.7041127285744049,0.40822545714931757,0,High-wage investment-income counties
06049,"Modoc County, CA",Very Low,2,Small transfer-reliant counties,0.5887080212126625,0.17741604242532366,0,High-wage investment-income counties
06051,"Mono County, CA",Low,0,High-wage investment-income counties,0.9998286779364243,0.9996573558728473,2,Small transfer-reliant counties
06053,"Monterey County, CA",High,0,High-wage investment-income counties,0.9996000983975829,0.999200196795167,2,Small transfer-reliant counties
06055,"Napa County, CA",High,0,High-wage investment-income counties,0.9999595551920781,0.9999191103841569,2,Small transfer-reliant counties
06057,"Nevada County, CA",Moderate,0,High-wage investment-income counties,0.9984134494345811,0.9968268988691631,2,Small transfer-reliant counties
06059,"Orange County, CA",Very High,0,High-wage investment-income counties,0.9999033574709865,0.9998067149419744,2,Small transfer-reliant counties
06061,"Placer County, CA",Moderate,0,High-wage investment-income counties,0.999716529864199,0.9994330597283989,2,Small transfer-reliant counties
06063,"Plumas County, CA",Moderate,0,High-wage investment-income counties,0.9817304110767838,0.963460822153566,2,Small transfer-reliant counties
06065,"Riverside County, CA",Very High,0,High-wage investment-income counties,0.9467490999142547,0.8934981998285083,2,Small transfer-reliant counties
06067,"Sacramento County, CA",High,0,High-wage investment-income counties,0.9979885188819305,0.995977037763862,2,Small transfer-reliant counties
06069,"San Benito County, CA",Moderate,0,High-wage investment-income counties,0.919589489757657,0.839179029710609,2,Small transfer-reliant counties
