fips,county_name,state,nri_risk_rating,incident_count,migration_trend_profile,migration_trend_profile_label,assignment_confidence,assignment_margin,second_best_profile,second_best_profile_label
01065,Hale County,AL,Very Low,11,1,Spike-and-fade migration counties,0.757010008133132,0.5178589719281533,0,Strong post-incident migration gain counties
01067,Henry County,AL,Very Low,11,3,Gradual post-incident migration gain counties,0.8586156605459562,0.7176387949859585,0,Strong post-incident migration gain counties
01069,Houston County,AL,Moderate,12,0,Strong post-incident migration gain counties,0.8980727749561896,0.7986285859305666,3,Gradual post-incident migration gain counties
01071,Jackson County,AL,Low,10,0,Strong post-incident migration gain counties,0.6408879311943296,0.2835243564195899,3,Gradual post-incident migration gain counties
01073,Jefferson County,AL,High,11,3,Gradual post-incident migration gain counties,0.9996686047855989,0.9994099849811318,2,Volatile migration counties
01077,Lauderdale County,AL,Moderate,8,3,Gradual post-incident migration gain counties,0.8467244841601257,0.6942306440104343,0,Strong post-incident migration gain counties
01079,Lawrence County,AL,Low,8,0,Strong post-incident migration gain counties,0.9144957283639444,0.8337438961449726,3,Gradual post-incident migration gain counties
01081,Lee County,AL,Low,9,3,Gradual post-incident migration gain counties,0.9216395467501797,0.8456788186222911,0,Strong post-incident migration gain counties
01083,Limestone County,AL,Low,9,0,Strong post-incident migration gain counties,0.9897146545938567,0.9806102298089611,1,Spike-and-fade migration counties
01089,Madison County,AL,High,8,3,Gradual post-incident migration gain counties,0.577257291436691,0.1563928977697392,0,Strong post-incident migration gain counties
01093,Marion County,AL,Low,11,3,Gradual post-incident migration gain counties,0.9985884077409086,0.9972049871168193,0,Strong post-incident migration gain counties
01095,Marshall County,AL,Moderate,9,3,Gradual post-incident migration gain counties,0.9924388985177073,0.9849234086924343,0,Strong post-incident migration gain counties
01097,Mobile County,AL,High,15,2,Volatile migration counties,0.9999999999998685,0.9999999999997362,3,Gradual post-incident migration gain counties
01101,Montgomery County,AL,Moderate,9,3,Gradual post-incident migration gain counties,0.9644736547804657,0.9297449842509622,0,Strong post-incident migration gain counties
01103,Morgan County,AL,Moderate,10,3,Gradual post-incident migration gain counties,0.9889784252026069,0.9780262895276335,0,Strong post-incident migration gain counties
01111,Randolph County,AL,Very Low,11,0,Strong post-incident migration gain counties,0.620483099872229,0.24664650779778452,3,Gradual post-incident migration gain counties
01115,St. Clair County,AL,Low,10,3,Gradual post-incident migration gain counties,0.9038556038987242,0.8082319958409128,0,Strong post-incident migration gain counties
01117,Shelby County,AL,Moderate,10,3,Gradual post-incident migration gain counties,0.9999044337470312,0.9998138249189632,2,Volatile migration counties
01121,Talladega County,AL,Moderate,9,3,Gradual post-incident migration gain counties,0.6365618946543611,0.2741840012628351,0,Strong post-incident migration gain counties
01123,Tallapoosa County,AL,Low,10,3,Gradual post-incident migration gain counties,0.9467080783557492,0.8937307469502973,0,Strong post-incident migration gain counties
01125,Tuscaloosa County,AL,Moderate,9,3,Gradual post-incident migration gain counties,0.9995249155733636,0.9990774273282732,0,Strong post-incident migration gain counties
01127,Walker County,AL,Moderate,9,0,Strong post-incident migration gain counties,0.709176806761113,0.4289228554678318,3,Gradual post-incident migration gain counties
01133,Winston County,AL,Low,9,0,Strong post-incident migration gain counties,0.8673436487628791,0.7375713542018151,1,Spike-and-fade migration counties
02020,Anchorage Municipality,AK,High,4,0,Strong post-incident migration gain counties,0.7265184265787287,0.46947604597650233,3,Gradual post-incident migration gain counties
02090,Fairbanks North Star Borough,AK,Moderate,6,2,Volatile migration counties,1.0,1.0,1,Spike-and-fade migration counties
02122,Kenai Peninsula Borough,AK,Moderate,9,0,Strong post-incident migration gain counties,0.6988071951195273,0.4087517928308625,3,Gradual post-incident migration gain counties
02170,Matanuska-Susitna Borough,AK,Moderate,9,1,Spike-and-fade migration counties,0.9555969734800395,0.9112137310825054,2,Volatile migration counties
02240,Southeast Fairbanks Census Area,AK,Low,5,1,Spike-and-fade migration counties,0.8725543641664802,0.7451087284505229,2,Volatile migration counties
04001,Apache County,AZ,Low,8,3,Gradual post-incident migration gain counties,0.9983091276202113,0.9966882844128694,0,Strong post-incident migration gain counties
04003,Cochise County,AZ,Moderate,8,0,Strong post-incident migration gain counties,0.6598282723561307,0.32131714573789544,3,Gradual post-incident migration gain counties
04005,Coconino County,AZ,Moderate,13,1,Spike-and-fade migration counties,0.9291562007832319,0.8610043183283318,0,Strong post-incident migration gain counties
04007,Gila County,AZ,Moderate,10,2,Volatile migration counties,0.999999999999936,0.999999999999871,3,Gradual post-incident migration gain counties
04009,Graham County,AZ,Low,3,1,Spike-and-fade migration counties,0.9958090923715259,0.9929774205508857,2,Volatile migration counties
04012,La Paz County,AZ,Moderate,7,0,Strong post-incident migration gain counties,0.9435271423598003,0.8883069345427497,1,Spike-and-fade migration counties
04013,Maricopa County,AZ,Very High,14,3,Gradual post-incident migration gain counties,0.9997101556862072,0.9994428107159309,2,Volatile migration counties
04015,Mohave County,AZ,High,9,3,Gradual post-incident migration gain counties,0.9838631225926239,0.9681295583492865,0,Strong post-incident migration gain counties
04017,Navajo County,AZ,Moderate,8,3,Gradual post-incident migration gain counties,0.9996224925585178,0.999292335334238,0,Strong post-incident migration gain counties
04019,Pima County,AZ,High,8,3,Gradual post-incident migration gain counties,0.9998817892942828,0.9998201873058026,0,Strong post-incident migration gain counties
04021,Pinal County,AZ,Moderate,11,2,Volatile migration counties,0.9995184293080411,0.9990517250923084,0,Strong post-incident migration gain counties
04023,Santa Cruz County,AZ,Moderate,7,0,Strong post-incident migration gain counties,0.604917602744282,0.2224269950673256,3,Gradual post-incident migration gain counties
04025,Yavapai County,AZ,Moderate,14,3,Gradual post-incident migration gain counties,0.9560576787587028,0.9140576617044812,0,Strong post-incident migration gain counties
04027,Yuma County,AZ,Moderate,7,0,Strong post-incident migration gain counties,0.7353420289793384,0.4718404861025256,1,Spike-and-fade migration counties
05001,Arkansas County,AR,Low,5,0,Strong post-incident migration gain counties,0.8754152108073405,0.7986951666207627,1,Spike-and-fade migration counties
05003,Ashley County,AR,Low,1,0,Strong post-incident migration gain counties,0.6298789828860586,0.2731584136397889,1,Spike-and-fade migration counties
05005,Baxter County,AR,Low,2,0,Strong post-incident migration gain counties,0.5323398333534171,0.06780871692376295,1,Spike-and-fade migration counties
05007,Benton County,AR,Moderate,3,0,Strong post-incident migration gain counties,0.9880120707605179,0.978657635201136,1,Spike-and-fade migration counties
05009,Boone County,AR,Low,3,0,Strong post-incident migration gain counties,0.7805385411029588,0.5623704952173342,1,Spike-and-fade migration counties
05015,Carroll County,AR,Low,3,0,Strong post-incident migration gain counties,0.968198886255509,0.9504494197924446,1,Spike-and-fade migration counties
05019,Clark County,AR,Very Low,2,1,Spike-and-fade migration counties,0.9842238091544389,0.968448156019233,2,Volatile migration counties
05021,Clay County,AR,Low,1,0,Strong post-incident migration gain counties,0.9357377625864002,0.8836448614825023,1,Spike-and-fade migration counties
05023,Cleburne County,AR,Low,4,1,Spike-and-fade migration counties,0.5429986643300526,0.0887654334246244,0,Strong post-incident migration gain counties
05027,Columbia County,AR,Very Low,1,3,Gradual post-incident migration gain counties,0.5076307637453108,0.021656811551176602,0,Strong post-incident migration gain counties
05029,Conway County,AR,Low,4,0,Strong post-incident migration gain counties,0.9852444668426177,0.9767842293745316,3,Gradual post-incident migration gain counties
05031,Craighead County,AR,Moderate,4,0,Strong post-incident migration gain counties,0.9448701747547584,0.8972193934020097,1,Spike-and-fade migration counties
05033,Crawford County,AR,Low,5,0,Strong post-incident migration gain counties,0.988571465076179,0.9820292010778364,3,Gradual post-incident migration gain counties
05037,Cross County,AR,Low,2,3,Gradual post-incident migration gain counties,0.9890204065938741,0.9781414550000113,0,Strong post-incident migration gain counties
05045,Faulkner County,AR,Moderate,6,3,Gradual post-incident migration gain counties,0.9899225504057514,0.9799455120566345,0,Strong post-incident migration gain counties
05047,Franklin County,AR,Low,4,0,Strong post-incident migration gain counties,0.9574583033293277,0.9186825962476425,1,Spike-and-fade migration counties
05049,Fulton County,AR,Low,1,2,Volatile migration counties,0.999809312174817,0.9996186243504441,1,Spike-and-fade migration counties
05051,Garland County,AR,Moderate,2,0,Strong post-incident migration gain counties,0.48634644467027494,0.12041007655406677,3,Gradual post-incident migration gain counties
05053,Grant County,AR,Very Low,3,0,Strong post-incident migration gain counties,0.842790683853114,0.7190202142175367,1,Spike-and-fade migration counties
05055,Greene County,AR,Low,2,0,Strong post-incident migration gain counties,0.7183414429444439,0.45885525253545995,1,Spike-and-fade migration counties
05059,Hot Spring County,AR,Low,1,0,Strong post-incident migration gain counties,0.9190485307641005,0.8562938759086665,3,Gradual post-incident migration gain counties
05063,Independence County,AR,Low,1,0,Strong post-incident migration gain counties,0.8234528632538491,0.649813704509741,1,Spike-and-fade migration counties
05065,Izard County,AR,Low,3,1,Spike-and-fade migration counties,0.9898402686494409,0.9811053137715408,2,Volatile migration counties
05067,Jackson County,AR,Low,1,0,Strong post-incident migration gain counties,0.9908023554820399,0.9831633914147291,2,Volatile migration counties
05069,Jefferson County,AR,Moderate,7,2,Volatile migration counties,0.9995589090753463,0.9991870541533131,0,Strong post-incident migration gain counties
05071,Johnson County,AR,Low,3,1,Spike-and-fade migration counties,0.6377043847871718,0.33609099891450056,0,Strong post-incident migration gain counties
05075,Lawrence County,AR,Low,1,2,Volatile migration counties,0.9999948806932308,0.9999897613864615,1,Spike-and-fade migration counties
05081,Little River County,AR,Low,1,1,Spike-and-fade migration counties,0.9845232459163613,0.9690465974168699,2,Volatile migration counties
05083,Logan County,AR,Low,5,0,Strong post-incident migration gain counties,0.8174917407122992,0.6410339462159211,1,Spike-and-fade migration counties
05085,Lonoke County,AR,Low,3,3,Gradual post-incident migration gain counties,0.530647690401717,0.09630454146880352,0,Strong post-incident migration gain counties
05087,Madison County,AR,Low,5,1,Spike-and-fade migration counties,0.9825064732934695,0.9708345647820222,2,Volatile migration counties
05089,Marion County,AR,Low,4,1,Spike-and-fade migration counties,0.608308081419865,0.22072720713941707,0,Strong post-incident migration gain counties
05091,Miller County,AR,Low,1,0,Strong post-incident migration gain counties,0.9900955012617916,0.9823434412531833,1,Spike-and-fade migration counties
05093,Mississippi County,AR,Moderate,2,2,Volatile migration counties,0.9999951725236625,0.999992071197646,0,Strong post-incident migration gain counties
05097,Montgomery County,AR,Very Low,2,2,Volatile migration counties,0.9999999841094988,0.9999999682189976,1,Spike-and-fade migration counties
05101,Newton County,AR,Very Low,2,1,Spike-and-fade migration counties,0.618033828382047,0.2402478675352414,0,Strong post-incident migration gain counties
05103,Ouachita County,AR,Low,3,3,Gradual post-incident migration gain counties,0.9630539158943765,0.9266285120339006,0,Strong post-incident migration gain counties
05105,Perry County,AR,Very Low,4,0,Strong post-incident migration gain counties,0.771545174825896,0.544863340496603,3,Gradual post-incident migration gain counties
05109,Pike County,AR,Very Low,1,0,Strong post-incident migration gain counties,0.6195542963226833,0.30639496049716847,2,Volatile migration counties
05111,Poinsett County,AR,Low,4,0,Strong post-incident migration gain counties,0.8538573040713694,0.7097210398294511,3,Gradual post-incident migration gain counties
05113,Polk County,AR,Low,5,0,Strong post-incident migration gain counties,0.9433399912534423,0.9074551108967768,3,Gradual post-incident migration gain counties
05115,Pope County,AR,Low,3,0,Strong post-incident migration gain counties,0.9928561208898428,0.988902468088491,1,Spike-and-fade migration counties
05119,Pulaski County,AR,High,5,3,Gradual post-incident migration gain counties,0.9510218995378121,0.9022512317930091,0,Strong post-incident migration gain counties
05121,Randolph County,AR,Low,1,2,Volatile migration counties,0.9680546630292857,0.9361093260585722,1,Spike-and-fade migration counties
05123,St. Francis County,AR,Low,1,2,Volatile migration counties,0.9999999999996927,0.9999999999993856,1,Spike-and-fade migration counties
05125,Saline County,AR,Low,2,3,Gradual post-incident migration gain counties,0.9583015323363454,0.916786640636971,0,Strong post-incident migration gain counties
05129,Searcy County,AR,Very Low,2,1,Spike-and-fade migration counties,0.7811063879127534,0.5658275829613995,0,Strong post-incident migration gain counties
05131,Sebastian County,AR,Moderate,5,0,Strong post-incident migration gain counties,0.8245108380949703,0.6508271489939296,3,Gradual post-incident migration gain counties
05133,Sevier County,AR,Low,1,1,Spike-and-fade migration counties,0.7895528023027447,0.58900810367821,2,Volatile migration counties
05135,Sharp County,AR,Low,2,1,Spike-and-fade migration counties,0.989716772147687,0.9796510130461187,2,Volatile migration counties
05137,Stone County,AR,Low,3,0,Strong post-incident migration gain counties,0.6482893583502157,0.2979763270205866,1,Spike-and-fade migration counties
05139,Union County,AR,Low,1,3,Gradual post-incident migration gain counties,0.6323387538633609,0.2721130295523265,0,Strong post-incident migration gain counties
05141,Van Buren County,AR,Low,3,0,Strong post-incident migration gain counties,0.9985314700643224,0.9977426578657982,1,Spike-and-fade migration counties
05143,Washington County,AR,Moderate,4,3,Gradual post-incident migration gain counties,0.9376680160050079,0.8757357149885564,0,Strong post-incident migration gain counties
05145,White County,AR,Moderate,4,3,Gradual post-incident migration gain counties,0.8978360443875316,0.7959598837962856,0,Strong post-incident migration gain counties
05149,Yell County,AR,Low,6,0,Strong post-incident migration gain counties,0.9459474785925337,0.9187073221014697,1,Spike-and-fade migration counties
06001,Alameda County,CA,Very High,22,0,Strong post-incident migration gain counties,0.8892399208600019,0.8299835615317062,3,Gradual post-incident migration gain counties
06003,Alpine County,CA,Very Low,19,2,Volatile migration counties,1.0,1.0,1,Spike-and-fade migration counties
06005,Amador County,CA,Low,24,1,Spike-and-fade migration counties,0.8743811043676957,0.7573558790455539,0,Strong post-incident migration gain counties
06007,Butte County,CA,Moderate,31,1,Spike-and-fade migration counties,0.9956733204131475,0.9914269769703681,2,Volatile migration counties
06009,Calaveras County,CA,Moderate,25,0,Strong post-incident migration gain counties,0.8089365857671045,0.6281634535624633,1,Spike-and-fade migration counties
06011,Colusa County,CA,Moderate,21,3,Gradual post-incident migration gain counties,0.9306198189500892,0.862234446538945,0,Strong post-incident migration gain counties
06013,Contra Costa County,CA,Very High,21,3,Gradual post-incident migration gain counties,0.981768353106593,0.9639050770600339,0,Strong post-incident migration gain counties
06015,Del Norte County,CA,High,21,2,Volatile migration counties,0.999974998993851,0.9999499979877025,1,Spike-and-fade migration counties
06017,El Dorado County,CA,Moderate,29,0,Strong post-incident migration gain counties,0.7919883907899699,0.6836890675015123,3,Gradual post-incident migration gain counties
06019,Fresno County,CA,High,23,3,Gradual post-incident migration gain counties,0.9832952770998563,0.9668344966920142,0,Strong post-incident migration gain counties
06021,Glenn County,CA,Low,22,0,Strong post-incident migration gain counties,0.8567782425674294,0.7224699930717506,1,Spike-and-fade migration counties
06023,Humboldt County,CA,High,21,0,Strong post-incident migration gain counties,0.7858369117639622,0.5745543459065231,1,Spike-and-fade migration counties
06025,Imperial County,CA,High,19,1,Spike-and-fade migration counties,0.9902713384264603,0.9806743561542507,2,Volatile migration counties
06027,Inyo County,CA,Low,15,0,Strong post-incident migration gain counties,0.6428983321982842,0.31958104860912323,3,Gradual post-incident migration gain counties
06029,Kern County,CA,High,25,3,Gradual post-incident migration gain counties,0.9091695252706834,0.8205605168423754,0,Strong post-incident migration gain counties
06031,Kings County,CA,Moderate,20,3,Gradual post-incident migration gain counties,0.6386544073086856,0.28367150107589134,0,Strong post-incident migration gain counties
06033,Lake County,CA,Moderate,34,3,Gradual post-incident migration gain counties,0.8572568267192872,0.7161350611360995,0,Strong post-incident migration gain counties
06035,Lassen County,CA,Low,20,0,Strong post-incident migration gain counties,0.747181866171637,0.577396114821372,1,Spike-and-fade migration counties
06037,Los Angeles County,CA,Very High,41,3,Gradual post-incident migration gain counties,0.7645865459219522,0.5345801716737196,0,Strong post-incident migration gain counties
06039,Madera County,CA,High,26,0,Strong post-incident migration gain counties,0.6603032858149188,0.3454268394588206,3,Gradual post-incident migration gain counties
06041,Marin County,CA,High,23,0,Strong post-incident migration gain counties,0.5887441530707156,0.25661531036405033,3,Gradual post-incident migration gain counties
06043,Mariposa County,CA,Moderate,28,0,Strong post-incident migration gain counties,0.7370377703879303,0.5807420838505692,3,Gradual post-incident migration gain counties
06045,Mendocino County,CA,High,29,3,Gradual post-incident migration gain counties,0.6172919791046034,0.26399241237346016,0,Strong post-incident migration gain counties
06047,Merced County,CA,High,22,1,Spike-and-fade migration counties,0.6335114797141159,0.31311394669611087,0,Strong post-incident migration gain counties
06051,Mono County,CA,Low,22,1,Spike-and-fade migration counties,0.8588243194043096,0.7195487602906562,2,Volatile migration counties
06053,Monterey County,CA,High,27,3,Gradual post-incident migration gain counties,0.9976964163944229,0.9955047246421913,0,Strong post-incident migration gain counties
06055,Napa County,CA,High,37,3,Gradual post-incident migration gain counties,0.9998041067936067,0.9996309064272301,2,Volatile migration counties
06057,Nevada County,CA,Moderate,26,0,Strong post-incident migration gain counties,0.5063330409657559,0.03351157388768916,1,Spike-and-fade migration counties
06059,Orange County,CA,Very High,26,3,Gradual post-incident migration gain counties,0.9752756453818054,0.9511021545682101,0,Strong post-incident migration gain counties
06061,Placer County,CA,Moderate,25,3,Gradual post-incident migration gain counties,0.9992247245648005,0.9985282476507766,0,Strong post-incident migration gain counties
06063,Plumas County,CA,Moderate,22,1,Spike-and-fade migration counties,0.9578788448927269,0.9236867326754533,2,Volatile migration counties
06065,Riverside County,CA,Very High,29,3,Gradual post-incident migration gain counties,0.9964603986019657,0.9930297389770638,0,Strong post-incident migration gain counties
06067,Sacramento County,CA,High,25,3,Gradual post-incident migration gain counties,0.9984224856298788,0.9968890620446265,0,Strong post-incident migration gain counties
06069,San Benito County,CA,Moderate,22,1,Spike-and-fade migration counties,0.9013975705230356,0.8512243919348831,0,Strong post-incident migration gain counties
06071,San Bernardino County,CA,Very High,27,3,Gradual post-incident migration gain counties,0.999349546991245,0.9988031684496408,0,Strong post-incident migration gain counties
06073,San Diego County,CA,Very High,27,3,Gradual post-incident migration gain counties,0.7800675328913308,0.5661248522080934,0,Strong post-incident migration gain counties
06075,San Francisco County,CA,Very High,20,0,Strong post-incident migration gain counties,0.6026141457307131,0.20962300116168303,1,Spike-and-fade migration counties
06077,San Joaquin County,CA,High,21,3,Gradual post-incident migration gain counties,0.992830295200373,0.985783036882907,0,Strong post-incident migration gain counties
06079,San Luis Obispo County,CA,High,24,0,Strong post-incident migration gain counties,0.6046152973902378,0.2166715762802286,1,Spike-and-fade migration counties
06081,San Mateo County,CA,High,24,1,Spike-and-fade migration counties,0.5834960528935106,0.17301863263810074,0,Strong post-incident migration gain counties
06083,Santa Barbara County,CA,High,29,1,Spike-and-fade migration counties,0.9859731637966777,0.9720313551088008,2,Volatile migration counties
06085,Santa Clara County,CA,Very High,24,1,Spike-and-fade migration counties,0.5363368964982556,0.07632174229702987,0,Strong post-incident migration gain counties
06087,Santa Cruz County,CA,High,25,1,Spike-and-fade migration counties,0.9380382690300537,0.8761024448946362,2,Volatile migration counties
06089,Shasta County,CA,Moderate,30,3,Gradual post-incident migration gain counties,0.9996976753168011,0.9993982348466108,2,Volatile migration counties
06091,Sierra County,CA,Very Low,9,1,Spike-and-fade migration counties,0.5399136202016482,0.07983601369422327,2,Volatile migration counties
06093,Siskiyou County,CA,Moderate,27,0,Strong post-incident migration gain counties,0.6949826024804713,0.41363115583035076,3,Gradual post-incident migration gain counties
06095,Solano County,CA,High,27,3,Gradual post-incident migration gain counties,0.8740877297557494,0.749872725334683,0,Strong post-incident migration gain counties
06097,Sonoma County,CA,High,33,3,Gradual post-incident migration gain counties,0.9998369747104482,0.9997286930495679,0,Strong post-incident migration gain counties
06099,Stanislaus County,CA,High,21,3,Gradual post-incident migration gain counties,0.9931457511024355,0.9864151730561045,0,Strong post-incident migration gain counties
06101,Sutter County,CA,Moderate,20,3,Gradual post-incident migration gain counties,0.997904526910257,0.9958430808221077,0,Strong post-incident migration gain counties
06103,Tehama County,CA,Moderate,21,3,Gradual post-incident migration gain counties,0.8183077355453479,0.6374571086881609,0,Strong post-incident migration gain counties
06105,Trinity County,CA,Low,27,1,Spike-and-fade migration counties,0.6092834358398194,0.22548533465762988,0,Strong post-incident migration gain counties
06107,Tulare County,CA,High,24,3,Gradual post-incident migration gain counties,0.9981685789162927,0.9964062755445282,0,Strong post-incident migration gain counties
06109,Tuolumne County,CA,Moderate,26,1,Spike-and-fade migration counties,0.9853213091742298,0.9707304028847996,2,Volatile migration counties
06111,Ventura County,CA,High,30,3,Gradual post-incident migration gain counties,0.9987375252385323,0.9975675048245537,0,Strong post-incident migration gain counties
06113,Yolo County,CA,Moderate,25,1,Spike-and-fade migration counties,0.9833819837510597,0.9667919764738657,2,Volatile migration counties
06115,Yuba County,CA,Low,25,0,Strong post-incident migration gain counties,0.5556379285855017,0.11764039795814496,3,Gradual post-incident migration gain counties
08001,Adams County,CO,Moderate,4,3,Gradual post-incident migration gain counties,0.9994467510740394,0.9988938051175476,2,Volatile migration counties
08003,Alamosa County,CO,Very Low,1,0,Strong post-incident migration gain counties,0.9945284771684932,0.9900194225285376,1,Spike-and-fade migration counties
08005,Arapahoe County,CO,Moderate,4,0,Strong post-incident migration gain counties,0.5722027922369359,0.20445231920351414,1,Spike-and-fade migration counties
08007,Archuleta County,CO,Very Low,1,2,Volatile migration counties,0.9999999999362181,0.9999999998724363,1,Spike-and-fade migration counties
08013,Boulder County,CO,Moderate,8,3,Gradual post-incident migration gain counties,0.6325260630186667,0.26937719056605425,0,Strong post-incident migration gain counties
08014,Broomfield County,CO,Very Low,2,2,Volatile migration counties,0.9218723497907495,0.8603891738022217,0,Strong post-incident migration gain counties
08015,Chaffee County,CO,Low,1,2,Volatile migration counties,0.9939969685567109,0.987993937430203,1,Spike-and-fade migration counties
08019,Clear Creek County,CO,Low,3,1,Spike-and-fade migration counties,0.5753954611077391,0.15434540993074125,0,Strong post-incident migration gain counties
08027,Custer County,CO,Very Low,2,2,Volatile migration counties,0.9999972658385591,0.9999945316771167,1,Spike-and-fade migration counties
08029,Delta County,CO,Low,1,2,Volatile migration counties,0.9999999999999183,0.9999999999998375,1,Spike-and-fade migration counties
08031,Denver County,CO,High,4,3,Gradual post-incident migration gain counties,0.7481337437464096,0.5094345468594563,0,Strong post-incident migration gain counties
08035,Douglas County,CO,Moderate,2,1,Spike-and-fade migration counties,0.9881045648573985,0.9820271807267708,2,Volatile migration counties
08037,Eagle County,CO,Low,3,1,Spike-and-fade migration counties,0.990977469702908,0.9819662974272834,2,Volatile migration counties
08039,Elbert County,CO,Very Low,3,0,Strong post-incident migration gain counties,0.9880685037540712,0.9781574348148828,2,Volatile migration counties
08041,El Paso County,CO,Moderate,1,3,Gradual post-incident migration gain counties,0.921133401847543,0.8437678263812514,0,Strong post-incident migration gain counties
08043,Fremont County,CO,Low,6,1,Spike-and-fade migration counties,0.8714488934234531,0.7463449975774915,2,Volatile migration counties
08045,Garfield County,CO,Low,3,0,Strong post-incident migration gain counties,0.9795301085726313,0.96431938735541,3,Gradual post-incident migration gain counties
08047,Gilpin County,CO,Very Low,2,2,Volatile migration counties,0.9999876952819793,0.9999753905639595,1,Spike-and-fade migration counties
08049,Grand County,CO,Low,3,1,Spike-and-fade migration counties,0.9959689385112681,0.9919467551342002,2,Volatile migration counties
08051,Gunnison County,CO,Low,1,1,Spike-and-fade migration counties,0.9877781348069332,0.9758546004976746,2,Volatile migration counties
08055,Huerfano County,CO,Very Low,3,0,Strong post-incident migration gain counties,0.7901363555094005,0.5888399323453238,2,Volatile migration counties
08059,Jefferson County,CO,High,6,3,Gradual post-incident migration gain counties,0.9998234126442826,0.9996567338076889,2,Volatile migration counties
08063,Kit Carson County,CO,Very Low,1,1,Spike-and-fade migration counties,0.7188172346041941,0.44615516149187395,0,Strong post-incident migration gain counties
08065,Lake County,CO,Very Low,2,0,Strong post-incident migration gain counties,0.5458174003725436,0.09448909248567605,1,Spike-and-fade migration counties
08067,La Plata County,CO,Low,1,0,Strong post-incident migration gain counties,0.9935525516341756,0.9892150620388662,1,Spike-and-fade migration counties
08069,Larimer County,CO,Moderate,5,0,Strong post-incident migration gain counties,0.9820490310646139,0.9696283942630076,3,Gradual post-incident migration gain counties
08071,Las Animas County,CO,Very Low,1,2,Volatile migration counties,0.9999997117076471,0.9999994234152944,1,Spike-and-fade migration counties
08075,Logan County,CO,Low,5,1,Spike-and-fade migration counties,0.9902145216651606,0.9805361239204126,2,Volatile migration counties
