fips,county_name,state,state_long,msa_code,msa_name,msa_type,csa_code,csa_name
01125,Tuscaloosa County,AL,Alabama,C4622,"Tuscaloosa, AL",Metro,,
01127,Walker County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01129,Washington County,AL,Alabama,,,,,
01131,Wilcox County,AL,Alabama,,,,,
01133,Winston County,AL,Alabama,,,,,
02010,Aleutian Islands Census Area,AK,Alaska,,,,,
02013,Aleutians East Borough,AK,Alaska,,,,,
02016,Aleutians West Census Area,AK,Alaska,,,,,
02020,Anchorage Municipality,AK,Alaska,C1126,"Anchorage, AK",Metro,,
02030,Angoon Division,AK,Alaska,,,,,
02040,Barrow-North Slope Division,AK,Alaska,,,,,
02050,Bethel Census Area,AK,Alaska,,,,,
02060,Bristol Bay Borough,AK,Alaska,,,,,
02063,Chugach Census Area,AK,Alaska,,,,,
02066,Copper River Census Area,AK,Alaska,,,,,
02068,Denali Borough,AK,Alaska,,,,,
02070,Dillingham Census Area,AK,Alaska,,,,,
02080,Cordova McCarthy Division,AK,Alaska,,,,,
02090,Fairbanks North Star Borough,AK,Alaska,C2182,"Fairbanks, AK",Metro,,
02100,Haines Borough,AK,Alaska,,,,,
02105,Hoonah-Angoon Census Area,AK,Alaska,,,,,
02110,Juneau City and Borough,AK,Alaska,C2794,"Juneau, AK",Micro,,
02120,Kenai-Cook Inlet Division,AK,Alaska,,,,,
02122,Kenai Peninsula Borough,AK,Alaska,,,,,
02130,Ketchikan Gateway Borough,AK,Alaska,C2854,"Ketchikan, AK",Micro,,
02140,Kobuk Census Area,AK,Alaska,,,,,
02150,Kodiak Island Borough,AK,Alaska,,,,,
02158,Kusilvak Census Area,AK,Alaska,,,,,
02160,Kuskokwim Division,AK,Alaska,,,,,
02164,Lake and Peninsula Borough,AK,Alaska,,,,,
02170,Matanuska-Susitna Borough,AK,Alaska,C1126,"Anchorage, AK",Metro,,
02180,Nome Census Area,AK,Alaska,,,,,
02185,North Slope Borough,AK,Alaska,,,,,
02188,Northwest Arctic Borough,AK,Alaska,,,,,
02190,Outer Ketchikan Division,AK,Alaska,,,,,
02195,Petersburg Borough,AK,Alaska,,,,,
02198,Prince of Wales-Hyder Census Area,AK,Alaska,,,,,
02200,Prince of Wales Division,AK,Alaska,,,,,
02201,Prince of Wales-Outer Ketchikan Census Area,AK,Alaska,,,,,
02210,Seward Division,AK,Alaska,,,,,
02220,Sitka City and Borough,AK,Alaska,,,,,
02230,Skagway Municipality,AK,Alaska,,,,,
02231,Skagway-Yakutat-Angoon Census Area,AK,Alaska,,,,,
02232,Skagway-Hoonah-Angoon Census Area,AK,Alaska,,,,,
02240,Southeast Fairbanks Census Area,AK,Alaska,,,,,
02250,Upper Yukon Division,AK,Alaska,,,,,
02260,Valdez-Chitina-Whittier Division,AK,Alaska,,,,,
02261,Valdez-Cordova Census Area,AK,Alaska,,,,,
02270,Wade Hampton Census Area,AK,Alaska,,,,,
02275,Wrangell City and Borough,AK,Alaska,,,,,
02280,Wrangell-Petersburg Census Area,AK,Alaska,,,,,
02282,Yakutat City and Borough,AK,Alaska,,,,,
02290,Yukon-Koyukuk Census Area,AK,Alaska,,,,,
04001,Apache County,AZ,Arizona,,,,,
04003,Cochise County,AZ,Arizona,C4342,"Sierra Vista-Douglas, AZ",Metro,,
04005,Coconino County,AZ,Arizona,C2238,"Flagstaff, AZ",Metro,,
04007,Gila County,AZ,Arizona,C3774,"Payson, AZ",Micro,,
04009,Graham County,AZ,Arizona,C4094,"Safford, AZ",Micro,,
04011,Greenlee County,AZ,Arizona,,,,,
04012,La Paz County,AZ,Arizona,,,,,
04013,Maricopa County,AZ,Arizona,C3806,"Phoenix-Mesa-Scottsdale, AZ",Metro,,
04015,Mohave County,AZ,Arizona,C2942,"Lake Havasu City-Kingman, AZ",Metro,CS332,"Las Vegas-Henderson, NV-AZ"
04017,Navajo County,AZ,Arizona,C4332,"Show Low, AZ",Micro,,
04019,Pima County,AZ,Arizona,C4606,"Tucson, AZ",Metro,CS536,"Tucson-Nogales, AZ"
04021,Pinal County,AZ,Arizona,C3806,"Phoenix-Mesa-Scottsdale, AZ",Metro,,
04023,Santa Cruz County,AZ,Arizona,C3570,"Nogales, AZ",Micro,CS536,"Tucson-Nogales, AZ"
04025,Yavapai County,AZ,Arizona,C3914,"Prescott, AZ",Metro,,
04027,Yuma County,AZ,Arizona,C4974,"Yuma, AZ",Metro,,
05001,Arkansas County,AR,Arkansas,,,,,
05003,Ashley County,AR,Arkansas,,,,,
05005,Baxter County,AR,Arkansas,C3426,"Mountain Home, AR",Micro,,
05007,Benton County,AR,Arkansas,C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
05009,Boone County,AR,Arkansas,C2546,"Harrison, AR",Micro,,
05011,Bradley County,AR,Arkansas,,,,,
05013,Calhoun County,AR,Arkansas,C1578,"Camden, AR",Micro,,
05015,Carroll County,AR,Arkansas,,,,,
05017,Chicot County,AR,Arkansas,,,,,
05019,Clark County,AR,Arkansas,C1166,"Arkadelphia, AR",Micro,,
05021,Clay County,AR,Arkansas,,,,,
05023,Cleburne County,AR,Arkansas,,,,,
05025,Cleveland County,AR,Arkansas,C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05027,Columbia County,AR,Arkansas,C3162,"Magnolia, AR",Micro,,
05029,Conway County,AR,Arkansas,,,,,
05031,Craighead County,AR,Arkansas,C2786,"Jonesboro, AR",Metro,CS308,"Jonesboro-Paragould, AR"
05033,Crawford County,AR,Arkansas,C2290,"Fort Smith, AR-OK",Metro,,
05035,Crittenden County,AR,Arkansas,C3282,"Memphis, TN-MS-AR",Metro,CS368,"Memphis-Forrest City, TN-MS-AR"
05037,Cross County,AR,Arkansas,,,,,
05039,Dallas County,AR,Arkansas,,,,,
05041,Desha County,AR,Arkansas,,,,,
05043,Drew County,AR,Arkansas,,,,,
05045,Faulkner County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05047,Franklin County,AR,Arkansas,,,,,
05049,Fulton County,AR,Arkansas,,,,,
05051,Garland County,AR,Arkansas,C2630,"Hot Springs, AR",Metro,CS284,"Hot Springs-Malvern, AR"
05053,Grant County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05055,Greene County,AR,Arkansas,C3750,"Paragould, AR",Micro,CS308,"Jonesboro-Paragould, AR"
05057,Hempstead County,AR,Arkansas,,,,,
05059,Hot Spring County,AR,Arkansas,C3168,"Malvern, AR",Micro,CS284,"Hot Springs-Malvern, AR"
05061,Howard County,AR,Arkansas,,,,,
05063,Independence County,AR,Arkansas,C1290,"Batesville, AR",Micro,,
05065,Izard County,AR,Arkansas,,,,,
05067,Jackson County,AR,Arkansas,,,,,
05069,Jefferson County,AR,Arkansas,C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05071,Johnson County,AR,Arkansas,,,,,
05073,Lafayette County,AR,Arkansas,,,,,
05075,Lawrence County,AR,Arkansas,,,,,
05077,Lee County,AR,Arkansas,,,,,
05079,Lincoln County,AR,Arkansas,C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05081,Little River County,AR,Arkansas,C4550,"Texarkana, TX-AR",Metro,,
05083,Logan County,AR,Arkansas,,,,,
05085,Lonoke County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05087,Madison County,AR,Arkansas,C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
05089,Marion County,AR,Arkansas,,,,,
05091,Miller County,AR,Arkansas,C4550,"Texarkana, TX-AR",Metro,,
05093,Mississippi County,AR,Arkansas,C1418,"Blytheville, AR",Micro,,
05095,Monroe County,AR,Arkansas,,,,,
05097,Montgomery County,AR,Arkansas,,,,,
05099,Nevada County,AR,Arkansas,,,,,
05101,Newton County,AR,Arkansas,C2546,"Harrison, AR",Micro,,
05103,Ouachita County,AR,Arkansas,C1578,"Camden, AR",Micro,,
05105,Perry County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05107,Phillips County,AR,Arkansas,C2576,"Helena-West Helena, AR",Micro,,
05109,Pike County,AR,Arkansas,,,,,
05111,Poinsett County,AR,Arkansas,C2786,"Jonesboro, AR",Metro,CS308,"Jonesboro-Paragould, AR"
05113,Polk County,AR,Arkansas,,,,,
05115,Pope County,AR,Arkansas,C4078,"Russellville, AR",Micro,,
05117,Prairie County,AR,Arkansas,,,,,
05119,Pulaski County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05121,Randolph County,AR,Arkansas,,,,,
05123,St. Francis County,AR,Arkansas,C2262,"Forrest City, AR",Micro,CS368,"Memphis-Forrest City, TN-MS-AR"
05125,Saline County,AR,Arkansas,C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
05127,Scott County,AR,Arkansas,,,,,
05129,Searcy County,AR,Arkansas,,,,,
05131,Sebastian County,AR,Arkansas,C2290,"Fort Smith, AR-OK",Metro,,
05133,Sevier County,AR,Arkansas,,,,,
05135,Sharp County,AR,Arkansas,,,,,
05137,Stone County,AR,Arkansas,,,,,
05139,Union County,AR,Arkansas,C2098,"El Dorado, AR",Micro,,
05141,Van Buren County,AR,Arkansas,,,,,
05143,Washington County,AR,Arkansas,C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
05145,White County,AR,Arkansas,C4262,"Searcy, AR",Micro,CS340,"Little Rock-North Little Rock, AR"
05147,Woodruff County,AR,Arkansas,,,,,
05149,Yell County,AR,Arkansas,C4078,"Russellville, AR",Micro,,
06001,Alameda County,CA,California,C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06003,Alpine County,CA,California,,,,,
06005,Amador County,CA,California,,,,,
06007,Butte County,CA,California,C1702,"Chico, CA",Metro,,
06009,Calaveras County,CA,California,,,,,
06011,Colusa County,CA,California,,,,,
06013,Contra Costa County,CA,California,C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06015,Del Norte County,CA,California,C1886,"Crescent City, CA",Micro,,
06017,El Dorado County,CA,California,C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
06019,Fresno County,CA,California,C2342,"Fresno, CA",Metro,CS260,"Fresno-Madera, CA"
06021,Glenn County,CA,California,,,,,
06023,Humboldt County,CA,California,C2170,"Eureka-Arcata-Fortuna, CA",Micro,,
06025,Imperial County,CA,California,C2094,"El Centro, CA",Metro,,
06027,Inyo County,CA,California,,,,,
06029,Kern County,CA,California,C1254,"Bakersfield, CA",Metro,,
06031,Kings County,CA,California,C2526,"Hanford-Corcoran, CA",Metro,CS546,"Visalia-Porterville-Hanford, CA"
06033,Lake County,CA,California,C1734,"Clearlake, CA",Micro,,
06035,Lassen County,CA,California,C4500,"Susanville, CA",Micro,,
06037,Los Angeles County,CA,California,C3108,"Los Angeles-Long Beach-Anaheim, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
06039,Madera County,CA,California,C3146,"Madera, CA",Metro,CS260,"Fresno-Madera, CA"
06041,Marin County,CA,California,C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06043,Mariposa County,CA,California,,,,,
06045,Mendocino County,CA,California,C4638,"Ukiah, CA",Micro,,
06047,Merced County,CA,California,C3290,"Merced, CA",Metro,CS382,"Modesto-Merced, CA"
06049,Modoc County,CA,California,,,,,
06051,Mono County,CA,California,,,,,
06053,Monterey County,CA,California,C4150,"Salinas, CA",Metro,,
06055,Napa County,CA,California,C3490,"Napa, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06057,Nevada County,CA,California,C4602,"Truckee-Grass Valley, CA",Micro,CS472,"Sacramento-Roseville, CA"
06059,Orange County,CA,California,C3108,"Los Angeles-Long Beach-Anaheim, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
06061,Placer County,CA,California,C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
06063,Plumas County,CA,California,,,,,
06065,Riverside County,CA,California,C4014,"Riverside-San Bernardino-Ontario, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
06067,Sacramento County,CA,California,C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
06069,San Benito County,CA,California,C4194,"San Jose-Sunnyvale-Santa Clara, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06071,San Bernardino County,CA,California,C4014,"Riverside-San Bernardino-Ontario, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
06073,San Diego County,CA,California,C4174,"San Diego-Carlsbad, CA",Metro,,
06075,San Francisco County,CA,California,C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06077,San Joaquin County,CA,California,C4470,"Stockton-Lodi, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06079,San Luis Obispo County,CA,California,C4202,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metro,,
06081,San Mateo County,CA,California,C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06083,Santa Barbara County,CA,California,C4220,"Santa Maria-Santa Barbara, CA",Metro,,
06085,Santa Clara County,CA,California,C4194,"San Jose-Sunnyvale-Santa Clara, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06087,Santa Cruz County,CA,California,C4210,"Santa Cruz-Watsonville, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06089,Shasta County,CA,California,C3982,"Redding, CA",Metro,CS454,"Redding-Red Bluff, CA"
06091,Sierra County,CA,California,,,,,
06093,Siskiyou County,CA,California,,,,,
06095,Solano County,CA,California,C4670,"Vallejo-Fairfield, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06097,Sonoma County,CA,California,C4222,"Santa Rosa, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
06099,Stanislaus County,CA,California,C3370,"Modesto, CA",Metro,CS382,"Modesto-Merced, CA"
06101,Sutter County,CA,California,C4970,"Yuba City, CA",Metro,CS472,"Sacramento-Roseville, CA"
06103,Tehama County,CA,California,C3978,"Red Bluff, CA",Micro,CS454,"Redding-Red Bluff, CA"
06105,Trinity County,CA,California,,,,,
06107,Tulare County,CA,California,C4730,"Visalia-Porterville, CA",Metro,CS546,"Visalia-Porterville-Hanford, CA"
06109,Tuolumne County,CA,California,C4376,"Sonora, CA",Micro,,
06111,Ventura County,CA,California,C3710,"Oxnard-Thousand Oaks-Ventura, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
06113,Yolo County,CA,California,C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
06115,Yuba County,CA,California,C4970,"Yuba City, CA",Metro,CS472,"Sacramento-Roseville, CA"
08001,Adams County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08003,Alamosa County,CO,Colorado,,,,,
08005,Arapahoe County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08007,Archuleta County,CO,Colorado,,,,,
08009,Baca County,CO,Colorado,,,,,
08011,Bent County,CO,Colorado,,,,,
08013,Boulder County,CO,Colorado,C1450,"Boulder, CO",Metro,CS216,"Denver-Aurora, CO"
08014,Broomfield County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08015,Chaffee County,CO,Colorado,,,,,
08017,Cheyenne County,CO,Colorado,,,,,
08019,Clear Creek County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08021,Conejos County,CO,Colorado,,,,,
08023,Costilla County,CO,Colorado,,,,,
08025,Crowley County,CO,Colorado,,,,,
08027,Custer County,CO,Colorado,,,,,
08029,Delta County,CO,Colorado,,,,,
08031,Denver County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08033,Dolores County,CO,Colorado,,,,,
08035,Douglas County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08037,Eagle County,CO,Colorado,C2078,"Edwards, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
08039,Elbert County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08041,El Paso County,CO,Colorado,C1782,"Colorado Springs, CO",Metro,,
08043,Fremont County,CO,Colorado,C1586,"Cañon City, CO",Micro,CS444,"Pueblo-Cañon City, CO"
08045,Garfield County,CO,Colorado,C2406,"Glenwood Springs, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
08047,Gilpin County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08049,Grand County,CO,Colorado,,,,,
08051,Gunnison County,CO,Colorado,,,,,
08053,Hinsdale County,CO,Colorado,,,,,
08055,Huerfano County,CO,Colorado,,,,,
08057,Jackson County,CO,Colorado,,,,,
08059,Jefferson County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08061,Kiowa County,CO,Colorado,,,,,
08063,Kit Carson County,CO,Colorado,,,,,
08065,Lake County,CO,Colorado,,,,,
08067,La Plata County,CO,Colorado,C2042,"Durango, CO",Micro,,
08069,Larimer County,CO,Colorado,C2266,"Fort Collins, CO",Metro,,
08071,Las Animas County,CO,Colorado,,,,,
08073,Lincoln County,CO,Colorado,,,,,
08075,Logan County,CO,Colorado,C4454,"Sterling, CO",Micro,,
08077,Mesa County,CO,Colorado,C2430,"Grand Junction, CO",Metro,,
08079,Mineral County,CO,Colorado,,,,,
08081,Moffat County,CO,Colorado,C1878,"Craig, CO",Micro,CS525,"Steamboat Springs-Craig, CO"
08083,Montezuma County,CO,Colorado,,,,,
08085,Montrose County,CO,Colorado,C3394,"Montrose, CO",Micro,,
08087,Morgan County,CO,Colorado,C2282,"Fort Morgan, CO",Micro,,
08089,Otero County,CO,Colorado,,,,,
08091,Ouray County,CO,Colorado,,,,,
08093,Park County,CO,Colorado,C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
08095,Phillips County,CO,Colorado,,,,,
08097,Pitkin County,CO,Colorado,C2406,"Glenwood Springs, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
08099,Prowers County,CO,Colorado,,,,,
08101,Pueblo County,CO,Colorado,C3938,"Pueblo, CO",Metro,CS444,"Pueblo-Cañon City, CO"
08103,Rio Blanco County,CO,Colorado,,,,,
08105,Rio Grande County,CO,Colorado,,,,,
08107,Routt County,CO,Colorado,C4446,"Steamboat Springs, CO",Micro,CS525,"Steamboat Springs-Craig, CO"
08109,Saguache County,CO,Colorado,,,,,
08111,San Juan County,CO,Colorado,,,,,
08113,San Miguel County,CO,Colorado,,,,,
08115,Sedgwick County,CO,Colorado,,,,,
08117,Summit County,CO,Colorado,C1472,"Breckenridge, CO",Micro,,
08119,Teller County,CO,Colorado,C1782,"Colorado Springs, CO",Metro,,
08121,Washington County,CO,Colorado,,,,,
08123,Weld County,CO,Colorado,C2454,"Greeley, CO",Metro,CS216,"Denver-Aurora, CO"
08125,Yuma County,CO,Colorado,,,,,
09001,Fairfield County,CT,Connecticut,C1486,"Bridgeport-Stamford-Norwalk, CT",Metro,CS408,"New York-Newark, NY-NJ-CT-PA"
09003,Hartford County,CT,Connecticut,C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
09005,Litchfield County,CT,Connecticut,C4586,"Torrington, CT",Micro,CS408,"New York-Newark, NY-NJ-CT-PA"
09007,Middlesex County,CT,Connecticut,C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
09009,New Haven County,CT,Connecticut,C3530,"New Haven-Milford, CT",Metro,CS408,"New York-Newark, NY-NJ-CT-PA"
09011,New London County,CT,Connecticut,C3598,"Norwich-New London, CT",Metro,CS278,"Hartford-West Hartford, CT"
09013,Tolland County,CT,Connecticut,C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
09015,Windham County,CT,Connecticut,C4934,"Worcester, MA-CT",Metro,CS148,"Boston-Worcester-Providence, MA-RI-NH-CT"
10001,Kent County,DE,Delaware,C2010,"Dover, DE",Metro,CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10003,New Castle County,DE,Delaware,C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metro,CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10005,Sussex County,DE,Delaware,C4154,"Salisbury, MD-DE",Metro,,
11001,District of Columbia,DC,istrict of Columbia,C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro,CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
12001,Alachua County,FL,Florida,C2354,"Gainesville, FL",Metro,CS264,"Gainesville-Lake City, FL"
12003,Baker County,FL,Florida,C2726,"Jacksonville, FL",Metro,CS300,"Jacksonville-St. Marys-Palatka, FL-GA"
12005,Bay County,FL,Florida,C3746,"Panama City, FL",Metro,,
12007,Bradford County,FL,Florida,,,,,
12009,Brevard County,FL,Florida,C3734,"Palm Bay-Melbourne-Titusville, FL",Metro,,
12011,Broward County,FL,Florida,C3310,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,CS370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
12013,Calhoun County,FL,Florida,,,,,
12015,Charlotte County,FL,Florida,C3946,"Punta Gorda, FL",Metro,CS412,"North Port-Sarasota, FL"
12017,Citrus County,FL,Florida,C2614,"Homosassa Springs, FL",Metro,,
12019,Clay County,FL,Florida,C2726,"Jacksonville, FL",Metro,CS300,"Jacksonville-St. Marys-Palatka, FL-GA"
12021,Collier County,FL,Florida,C3494,"Naples-Immokalee-Marco Island, FL",Metro,CS162,"Cape Coral-Fort Myers-Naples, FL"
